Submitted At,Symbol,Side,Status,Notional,Filled Qty,Filled Avg Price,Filled Value,PnL ($),Client Order ID,Strategy Type,Strategy Name
2026-04-17 15:41:42.932658+00:00,CENX,SELL,FILLED,0.000000,3.042407,61.230000,186.286606,22.00,strategies.momentum.clenow_trend:5f1451bcc9a446bc,Momentum,Clenow Trend
2026-04-17 10:26:05.193409+00:00,NVO,SELL,NEW,0.000000,0.000000,0.000000,0.000000,,hY1uTepchp,Hy1Utepchp,
2026-04-16 08:00:11.780241+00:00,UNH,SELL,FILLED,0.000000,50.000000,315.660000,15783.000000,1757.00,GJjT4Hfztf,Gjjt4Hfztf,
2026-04-08 16:04:16.372324+00:00,MATX,SELL,FILLED,0.000000,0.893152,171.576000,153.243364,,strategies.momentum.clenow_trend:812b342791714b72,Momentum,Clenow Trend
2026-04-01 15:59:10.488437+00:00,UUP,BUY,FILLED,0.000000,19.000000,27.660000,525.540000,,strategies.ranks.ranked_asset_alloc:deea560e05b14c46,Ranks,Ranked Asset Alloc
2026-04-01 15:59:10.207098+00:00,TLT,BUY,FILLED,0.000000,6.000000,86.690000,520.140000,,strategies.ranks.ranked_asset_alloc:dd64430dd2524d08,Ranks,Ranked Asset Alloc
2026-04-01 15:59:09.895048+00:00,GLD,BUY,FILLED,0.000000,1.000000,439.650000,439.650000,,strategies.ranks.ranked_asset_alloc:9ba91899416b48e1,Ranks,Ranked Asset Alloc
2026-04-01 15:59:09.633488+00:00,XLV,SELL,FILLED,0.000000,8.180806,148.331223,1213.469032,-36.53,strategies.ranks.ranked_asset_alloc:085e8a01232b4540,Ranks,Ranked Asset Alloc
2026-04-01 15:59:09.587835+00:00,XLC,SELL,FILLED,0.000000,26.546041,111.270000,2953.778033,-171.22,strategies.ranks.ranked_asset_alloc:5bf067b5b9f0467b,Ranks,Ranked Asset Alloc
2026-04-01 15:59:09.543489+00:00,XLRE,SELL,FILLED,0.000000,29.312588,40.990000,1201.522985,-48.48,strategies.ranks.ranked_asset_alloc:c021088ad62b40b3,Ranks,Ranked Asset Alloc
2026-03-31 15:50:40.361170+00:00,MU,SELL,FILLED,0.000000,0.934842,317.346000,296.668428,-99.03,strategies.momentum.clenow_trend:ce3b7b9dde3b4235,Momentum,Clenow Trend
2026-03-26 15:55:06.397764+00:00,KLIC,SELL,FILLED,0.000000,2.700303,66.650000,179.975166,1.49,strategies.momentum.clenow_trend:22ef01dcdafe426e,Momentum,Clenow Trend
2026-03-25 15:50:14.981732+00:00,DAN,SELL,FILLED,0.000000,7.494637,33.360000,250.021085,5.68,strategies.momentum.clenow_trend:1fb72cb795584625,Momentum,Clenow Trend
2026-03-25 15:50:14.932585+00:00,MKSI,SELL,FILLED,0.000000,0.716791,240.676000,172.514357,11.87,strategies.momentum.clenow_trend:0fcc83d44bab4b64,Momentum,Clenow Trend
2026-03-18 15:54:21.178367+00:00,AA,SELL,FILLED,0.000000,0.935956,64.690000,60.546990,,strategies.momentum.clenow_trend:0dcfdb8a181c4f91,Momentum,Clenow Trend
2026-03-17 15:43:30.424632+00:00,FCX,SELL,FILLED,0.000000,3.188382,57.680000,183.905875,-11.05,strategies.momentum.clenow_trend:230f84d702fc4bc8,Momentum,Clenow Trend
2026-03-16 08:00:38.648270+00:00,ADBE,BUY,FILLED,0.000000,20.000000,249.000000,4980.000000,,5gghRO0KG6,5Gghro0Kg6,
2026-03-16 08:00:38.553035+00:00,PLTR,BUY,FILLED,0.000000,10.000000,152.520000,1525.200000,,s55MWYTY0P,S55Mwyty0P,
2026-03-16 08:00:38.547927+00:00,NFLX,BUY,FILLED,0.000000,30.000000,94.938666,2848.159980,,choC94nOTP,Choc94Notp,
2026-03-13 15:15:10.344546+00:00,ALB,SELL,FILLED,0.000000,4.693467,159.690000,749.499799,-81.76,strategies.momentum.clenow_trend:151e3e191fea407b,Momentum,Clenow Trend
2026-03-12 15:37:32.445364+00:00,ACMR,SELL,FILLED,0.000000,1.857620,44.970000,83.537173,-5.44,strategies.momentum.clenow_trend:928141bf8db246fa,Momentum,Clenow Trend
2026-03-11 13:23:01.843654+00:00,LITE,SELL,FILLED,0.000000,0.592205,651.070000,385.566670,35.05,eB6mYuZG30,Eb6Myuzg30,
2026-03-11 13:23:01.841936+00:00,UCTT,BUY,FILLED,86.080000,1.538792,55.940000,86.080000,,strategies.momentum.clenow_trend:dfdbdffce0c64f8f,Momentum,Clenow Trend
2026-03-11 13:23:01.833936+00:00,ICHR,BUY,FILLED,69.830000,1.631542,42.800000,69.830000,,strategies.momentum.clenow_trend:4018de3040be473b,Momentum,Clenow Trend
2026-03-11 13:23:01.826584+00:00,MKSI,BUY,FILLED,160.640000,0.716791,224.110000,160.640000,,strategies.momentum.clenow_trend:9386f6cf8ccd4035,Momentum,Clenow Trend
2026-03-11 13:23:01.822218+00:00,ACMR,BUY,FILLED,88.980000,1.857620,47.900000,88.980000,,strategies.momentum.clenow_trend:03d03fbe7ec1478e,Momentum,Clenow Trend
2026-03-11 09:18:06.780640+00:00,NVO,BUY,FILLED,0.000000,100.000000,38.670500,3867.050000,,HuNiG0FkuH,Hunig0Fkuh,
2026-03-11 09:16:06.127027+00:00,HIMS,BUY,FILLED,0.000000,45.000000,23.519778,1058.390010,,aXY189jf8H,Axy189Jf8H,
2026-03-11 08:02:30.468359+00:00,KMT,SELL,NEW,0.000000,0.000000,0.000000,0.000000,,4JvOcuhOl7,4Jvocuhol7,
2026-03-11 08:02:30.463711+00:00,HL,SELL,NEW,0.000000,0.000000,0.000000,0.000000,,gh89eB5jOn,Gh89Eb5Jon,
2026-03-11 08:02:30.459230+00:00,KLIC,BUY,FILLED,178.490000,2.700303,66.100000,178.490000,,strategies.momentum.clenow_trend:686400922d5b474d,Momentum,Clenow Trend
2026-03-11 08:02:30.450782+00:00,NEOG,SELL,NEW,0.000000,0.000000,0.000000,0.000000,,meA1fOlTsx,Mea1Foltsx,
2026-03-11 08:02:30.445798+00:00,CENX,BUY,FILLED,164.290000,3.042407,54.000000,164.290000,,strategies.momentum.clenow_trend:015ed495efc2411e,Momentum,Clenow Trend
2026-03-11 08:02:30.441185+00:00,AMZN,SELL,FILLED,0.000000,20.000000,240.020000,4800.400000,,ZcjoqN9E0O,Zcjoqn9E0O,
2026-03-11 08:02:30.436490+00:00,XLC,BUY,FILLED,3125.000000,26.546041,117.720000,3125.000000,,strategies.ranks.ranked_asset_alloc:60173bee831c4fb2,Ranks,Ranked Asset Alloc
2026-03-11 08:02:30.432167+00:00,AMZN,SELL,FILLED,0.000000,20.000000,230.147500,4602.950000,376.75,JHWTh7YEHU,Jhwth7Yehu,
2026-03-11 08:02:30.427538+00:00,INFQ,SELL,FILLED,0.000000,20.000000,17.000000,340.000000,,fc7NTAnStD,Fc7Ntanstd,
2026-03-11 08:02:30.423192+00:00,SNPS,SELL,NEW,0.000000,0.000000,0.000000,0.000000,,xiCesF5GpD,Xicesf5Gpd,
2026-03-11 08:02:30.419043+00:00,XLV,BUY,FILLED,1250.000000,8.180806,152.796671,1249.999998,,strategies.ranks.ranked_asset_alloc:95a2bc9581c44a23,Ranks,Ranked Asset Alloc
2026-03-11 08:02:30.414360+00:00,COHR,SELL,FILLED,0.000000,1.829842,251.130000,459.528340,43.68,MyW2ylWceO,Myw2Ylwceo,
2026-03-11 08:02:30.409683+00:00,MATX,SELL,FILLED,0.000000,3.000000,172.433333,517.299999,22.30,Rok4TFyieu,Rok4Tfyieu,
2026-03-11 08:02:30.404822+00:00,SKYW,SELL,FILLED,0.000000,40.000000,101.006500,4040.260000,440.26,9nslcoRpsN,9Nslcorpsn,
2026-03-11 08:02:30.399882+00:00,TER,SELL,EXPIRED,0.000000,0.000000,0.000000,0.000000,,qOUtc8zUlh,Qoutc8Zulh,
2026-03-11 08:02:30.395407+00:00,MRNA,BUY,FILLED,117.100000,2.094437,55.910000,117.100000,,strategies.momentum.clenow_trend:a1af1eae93144221,Momentum,Clenow Trend
2026-03-11 08:02:30.390848+00:00,VICR,SELL,FILLED,0.000000,2.495610,169.983147,424.211600,14.93,dkk89uim0T,Dkk89Uim0T,
2026-03-11 08:02:30.386620+00:00,UNH,SELL,CANCELED,0.000000,0.000000,0.000000,0.000000,,Ttl6gCH2b8,Ttl6Gch2B8,
2026-03-11 08:02:30.382299+00:00,AA,SELL,FILLED,0.000000,7.000000,65.510000,458.570000,14.28,LoChQaPYPJ,Lochqapypj,
2026-03-11 08:02:30.377961+00:00,FORM,SELL,FILLED,0.000000,3.000000,101.600000,304.800000,13.80,g75W0z4B7x,G75W0Z4B7X,
2026-03-11 08:02:30.373631+00:00,REGN,SELL,NEW,0.000000,0.000000,0.000000,0.000000,,6A8rsgQNOW,6A8Rsgqnow,
2026-03-11 08:02:30.369248+00:00,NBIS,SELL,FILLED,0.000000,20.000000,107.137500,2142.750000,426.95,BQBlT5GGfV,Bqblt5Ggfv,
2026-03-11 08:02:30.364538+00:00,XLRE,BUY,FILLED,1250.000000,29.312588,42.643795,1249.999997,,strategies.ranks.ranked_asset_alloc:f037bcb7e6e94ab0,Ranks,Ranked Asset Alloc
2026-03-11 08:02:30.360026+00:00,DAN,BUY,FILLED,244.340000,7.494637,32.601980,244.340000,,strategies.momentum.clenow_trend:417ad477f6f9434f,Momentum,Clenow Trend
2026-03-11 08:02:30.355636+00:00,XLE,SELL,FILLED,0.000000,100.000000,62.000000,6200.000000,557.64,MttQ0TbyrJ,Mttq0Tbyrj,
2026-03-11 08:02:30.350918+00:00,CF,SELL,FILLED,0.000000,40.000000,120.060000,4802.400000,166.97,rvOeyvCREn,Rvoeyvcren,
2026-03-11 08:02:30.346312+00:00,UNH,SELL,CANCELED,0.000000,0.000000,0.000000,0.000000,,jFcPJSx6u0,Jfcpjsx6U0,
2026-03-11 08:02:30.341888+00:00,ALB,BUY,FILLED,0.000000,2.000000,165.820000,331.640000,,NArbw2549p,Narbw2549P,
2026-03-11 08:02:30.337669+00:00,NTR,SELL,FILLED,0.000000,40.000000,82.920750,3316.830000,255.03,sMjICNxU6m,Smjicnxu6M,
2026-03-11 08:02:30.333270+00:00,FCX,BUY,FILLED,194.960000,3.188382,61.147002,194.960001,,strategies.momentum.clenow_trend:6bbb762b8dac4c49,Momentum,Clenow Trend
2026-03-11 08:02:30.328625+00:00,WDC,SELL,FILLED,0.000000,1.000000,290.050000,290.050000,5.05,HFHxCTFlwv,Hfhxctflwv,
2026-03-11 08:02:30.324114+00:00,XLU,BUY,FILLED,3125.000000,67.436097,46.340167,3124.999984,,strategies.ranks.ranked_asset_alloc:1dd0af1c006f4ecc,Ranks,Ranked Asset Alloc
2026-03-11 08:02:30.319550+00:00,XLP,BUY,FILLED,3125.000000,36.680211,85.195801,3124.999990,,strategies.ranks.ranked_asset_alloc:4226dcc733e94f9a,Ranks,Ranked Asset Alloc
2026-03-11 07:42:18.682013+00:00,LITE,SELL,CANCELED,0.000000,0.000000,0.000000,0.000000,,jiqW1LHrKs,Jiqw1Lhrks,
2026-03-11 07:39:59.092069+00:00,VICR,BUY,REJECTED,0.000000,0.000000,0.000000,0.000000,,su61HKivo2,Su61Hkivo2,
2026-03-11 07:39:35.041148+00:00,VICR,SELL,CANCELED,0.000000,0.000000,0.000000,0.000000,,1em7ydVQQY,1Em7Ydvqqy,
2026-03-09 08:32:15.788328+00:00,UNH,BUY,FILLED,0.000000,50.000000,280.520000,14026.000000,,5a3f020f-7e6f-4a8f-8061-eda80fe850e1,5A3F020F-7E6F-4A8F-8061-Eda80Fe850E1,
2026-03-09 08:29:29.445941+00:00,REGN,BUY,FILLED,0.000000,5.000000,764.862000,3824.310000,,529e5624-6453-45d5-9fdf-1c1f0b8d6604,529E5624-6453-45D5-9Fdf-1C1F0B8D6604,
2026-03-09 08:28:15.455038+00:00,AMZN,BUY,FILLED,0.000000,40.000000,211.310000,8452.400000,,abfcaf42-37df-405e-9951-e74a214163bd,Abfcaf42-37Df-405E-9951-E74A214163Bd,
