symbol,sector,industry,first_seen,last_seen,consecutive_failures
A,Health Care,Life Sciences Tools & Services,2026-08-20,2026-08-23,0
AA,Materials,Aluminum,2026-08-20,2026-08-23,0
AAL,Industrials,Passenger Airlines,2026-08-20,2026-08-23,0
AAMI,Financials,Asset Management & Custody Banks,2026-08-20,2026-08-23,0
AAON,Industrials,Building Products,2026-08-20,2026-08-23,0
AAP,Consumer Discretionary,Automotive Retail,2026-08-20,2026-08-23,0
AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",2026-08-20,2026-08-23,0
AAT,Real Estate,Diversified REITs,2026-08-20,2026-08-23,0
ABBV,Health Care,Biotechnology,2026-08-20,2026-08-23,0
ABCB,Financials,Regional Banks,2026-08-20,2026-08-23,0
ABG,Consumer Discretionary,Automotive Retail,2026-08-20,2026-08-23,0
ABM,Industrials,Environmental & Facilities Services,2026-08-20,2026-08-23,0
ABNB,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2026-08-20,2026-08-23,0
ABT,Health Care,Health Care Equipment,2026-08-20,2026-08-23,0
ACA,Industrials,Construction & Engineering,2026-08-20,2026-08-23,0
ACAD,Health Care,Pharmaceuticals,2026-08-20,2026-08-23,0
ACGL,Financials,Property & Casualty Insurance,2026-08-20,2026-08-23,0
ACHC,Health Care,Health Care Facilities,2026-08-20,2026-08-23,0
ACI,Consumer Staples,Food Retail,2026-08-20,2026-08-23,0
ACIW,Information Technology,Application Software,2026-08-20,2026-08-23,0
ACLS,Information Technology,Semiconductor Materials & Equipment,2026-08-20,2026-08-23,0
ACM,Industrials,Construction & Engineering,2026-08-20,2026-08-23,0
ACMR,Information Technology,Semiconductor Materials & Equipment,2026-08-20,2026-08-23,0
ACN,Information Technology,IT Consulting & Other Services,2026-08-20,2026-08-23,0
ACT,Financials,Commercial & Residential Mortgage Finance,2026-08-20,2026-08-23,0
ADBE,Information Technology,Application Software,2026-08-20,2026-08-23,0
ADC,Real Estate,Retail REITs,2026-08-20,2026-08-23,0
ADEA,Information Technology,IT Consulting & Other Services,2026-08-20,2026-08-23,0
ADI,Information Technology,Semiconductors,2026-08-20,2026-08-23,0
ADM,Consumer Staples,Agricultural Products & Services,2026-08-20,2026-08-23,0
ADMA,Health Care,Biotechnology,2026-08-20,2026-08-23,0
ADNT,Consumer Discretionary,Automotive Parts & Equipment,2026-08-20,2026-08-23,0
ADP,Industrials,Human Resource & Employment Services,2026-08-20,2026-08-23,0
ADSK,Information Technology,Application Software,2026-08-20,2026-08-23,0
ADUS,Health Care,Health Care Services,2026-08-20,2026-08-23,0
AEE,Utilities,Multi-Utilities,2026-08-20,2026-08-23,0
AEIS,Information Technology,Semiconductor Materials & Equipment,2026-08-20,2026-08-23,0
AEO,Consumer Discretionary,Apparel Retail,2026-08-20,2026-08-23,0
AEP,Utilities,Electric Utilities,2026-08-20,2026-08-23,0
AES,Utilities,Independent Power Producers & Energy Traders,2026-08-20,2026-08-23,0
AESI,Energy,Oil & Gas Equipment & Services,2026-08-20,2026-08-23,0
AFG,Financials,Multi-line Insurance,2026-08-20,2026-08-23,0
AFL,Financials,Life & Health Insurance,2026-08-20,2026-08-23,0
AGCO,Industrials,Agricultural & Farm Machinery,2026-08-20,2026-08-23,0
AGO,Financials,Property & Casualty Insurance,2026-08-20,2026-08-23,0
AGYS,Information Technology,Application Software,2026-08-20,2026-08-23,0
